artist_name,track_name,release_date,lyrics,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment
built to spill,randy described eternity,1997,"Randy Described Eternity LyricsEvery thousand years
This metal sphere
Ten times the size of Jupiter
Floats just a few yards past the Earth
You climb on your roof
And take a swipe at it
With a single feather
Hit it once every thousand years
'Til you've worn it down
To the size of a pea
Yeah, I'd say that's a long time
But it's only half a blink
In the place you're gonna be
Where you gonna be?
Where will you spend eternity?
I'm gonna be perfect from now on
I'm gonna be perfect, starting now
Stop making that sound
Stop making that sound
I will say I forgot it
But it was only yesterday
And it's all you had to say4Embed",0.053,0.858,0.089,0.782
green day,prosthetic head,1997,"Prosthetic Head Lyrics[Verse 1]
I see you down on the front line
Such a sight for sore eyes, you're a suicide makeover
Plastic eyes lookin' through a numbskull
Self-effaced, what's his face, you've erased yourself, so shut up
You don't let up

[Pre-Chorus]
You have a growth that must be treated
Like a severed severe pain in the neck
You can smell it, but you can't see it
No explanation identified, 'cause
[Chorus]
You don't know
You don't say that you got no reply

[Verse 2]
Hey you, where did you come from?
Got a head full of lead, you're an inbred bastard son
All dressed up, a red blooded A-mannequin
Do or die, no reply, don't deny that you're synthetic
You're pathetic

[Pre-Chorus]
You have a growth that must be treated
Like a severed severe pain in the neck
You can smell it, but you can't see it
No explanation identified, 'cause

[Chorus]
You don't know
You don't say that you got no reply
You don't know
You don't say that you got no reply

[Bridge]
I see you down on the front line
Such a sight for sore eyes, you're a suicide makeover
[Chorus]
You don't know
You don't say that you got no reply
You don't know
You don't say that you got no reply6Embed",0.237,0.699,0.064,-0.9938
hanson,i will come to you,1997,"5k Lyrics[Verse]
I'm the dude that's running it like a 5k
Kid  with the knack for killing it
Looking  Pompeii
Spit flames
Making fire blaze
Making  big waves
Do  it all day
In a big way
Replay 
I'm the dude that's running it like a 5k
Vonte just a little bit picante
When I hop out the car
They  lose all regard
For the neighborhood
Now you can say I'm good
Make your decision
If you ain't got shit to say
Shut up and listen
I'm cool in the kitchen
Autocorrect him to cook
Bastard

Can't catch me
Like you're chip Hanson
Murder the beat
Like I'm chip masion
Looking in the mirror like
(Damn he's handsome)
You can still catch these hands
Like you're Danny phantom

Catch these hands like you're Danny phantom
Who's next
Hands and I will be counting my checks
New shirt that I bet will rip if I flex
I'm wasting my money
Ice on my neck

I don't need a chain I'm a big dog
I don't need bark
When I get it done yeah I do do do do do do do
Baby shark
I'm too clean you can't mess with me
When they burn trees we burn effigies
And I'm the Referee
Yeah I call the shots
Human Millipede
I got a thousand socks
When they step to me they look up
And I'm looking down on them
I'm six foot four
It's hard for me to find pants when I want them
Winter solstice that's a long night
Take a trip to France
Now that's a long flight
I'm electric with it
You can ask Ben Franklin
Got the key
And I'mma fly along kite

I not the man when I come through
But imma throw a party that they'll come to
If you go and ask my dudes what I'm gone do
They say I'm bout to set it off and be dumb cool
You best not mess with my mans
Or I'll put in work with my hands
Pulling up ( SKIIIIIIRRRT ) in that 2007
Best understand
You cannot switch up the plan

Try to make a banger like I'm knocking on a door
Only got the juice if I'm going to the store
It's got to get hot
Right after them shots
No water in the club
We got em sitting on the floor

Phone don't ring
No I can't talk
Yeah I run the game
No I can't walk
Aye I got a woman
Back your ass up
Just back your ass up
Not back youor ass up
I've been out here working
I've been working Just to stack up
I don't need no condiments
I don't need no kachup
You're playing catch up
I've been at it for a minute
I ain't even playing
Only reason I'm not winnin

You can see it in my walk
Clumsy in the kitchen
I'll be dripping with the sauce
And I look good in what I wear they'll be asking what it cost
All except for my underwear I got most of it at Ross

Young and staying under covers
Like I'm Cody banks
Say they got some shooters
That ain't doing shit but shooting blanks
Looking at ya boy
Thinking that he robbed a bank
Tell me lighten up the tred
I'mma have to cop a tank

Yeah they're looking at you
Cuz you got the newest Tech
Yeah you're looking Frozen
Got some ice up on your Neck
And you got it just to flex
Now that's a Flex
I can't Respect
Cuz you know you're gunna to sacrifice
The art to get the Check

Head in the clouds
The only
One
Couldn't fall asleep
They told me
RunEmbed",0.064,0.822,0.114,0.9828
blur,beetlebum,1997,"Beetlebum Lyrics[Verse 1]
Beetlebum
What you done?
She's a gun
Now what you done
Beetlebum?
Get nothing done
You beetlebum
Just get numb
Now what you done
Beetlebum?
[Chorus]
And when she lets me slip away
She turns me on and all my violence gone
Nothing is wrong
I just slip away and I am gone
Nothing is wrong
She turns me on
I just slip away and I am gone

[Verse 2]
Beetlebum
Because you're young
She's a gun
Now what you done
Beetlebum?
She'll suck your thumb
She'll make you cum
'Cause she's your gun
Now what you done
Beetlebum?

[Chorus]
And when she lets me slip away
She turns me on and all my violence gone
Nothing is wrong
I just slip away and I am gone
There's nothing wrong
She turns me on
I just slip away and I am gone
[Outro]
He's on, he's on, he's on it
He's on, he's on, he's on it
He's on, he's on, he's on it
He's on, he's on, he's on it
He's on, he's on, he's on it
He's on, he's on, he's on it
He's on, he's on, he's on it
He's on, he's on, he's on it19Embed",0.097,0.857,0.046,-0.9089
bob dylan,not dark yet,1997,"Not Dark Yet Lyrics[Verse 1]
Shadows are falling
And I’ve been here all day
It’s too hot to sleep
And time is running away
Feel like my soul has
Turned into steel
I’ve still got the scars
That the sun didn’t heal
There’s not even room enough
To be anywhere
[Refrain]
It’s not dark yet
But it’s getting there

[Verse 2]
Well, my sense of humanity
Has gone down the drain
Behind every beautiful thing
There’s been some kind of pain
She wrote me a letter
And she wrote it so kind
She put down in writin'
What was in her mind
I just don’t see why I should even care

[Refrain]
It’s not dark yet
But it’s getting there

[Verse 3]
Well, I’ve been to London
And I’ve been to gay Paris
I’ve followed the river
And I got to the sea
I’ve been down on the bottom
Of a world full of lies
I ain’t looking for nothing
In anyone’s eyes
Sometimes my burden
Is more than I can bear
[Refrain]
It’s not dark yet
But it’s getting there

[Instrumental Interlude]

[Verse 4]
I was born here and I’ll die here
Against my will
I know it looks like I’m moving
But I’m standing still
Every nerve in my body
Is so vacant and numb
I can’t even remember what it was
I came here to get away from
Don’t even hear a murmur of a prayer

[Refrain]
It’s not dark yet
But it’s getting there11Embed",0.08,0.829,0.092,0.529
incubus,new skin,1997,"New Skin Lyrics[Verse 1]
At first I see an open wound
Infected and disastrous
It breathes chaotic catastrophe
It cries to be renewed (Please renew me!)
Its tears are the color of anger
They dry to form a scab
To the touch, its stiff and resilient
Underneath, the new skin breathes, yeah

[Guitar Solo]
[Chorus]
It's all been saved
With the exception for the right parts
But when will we be new skin?

[Verse 2]
As outwardly cliche as it may seem
Yes, something under the surface says ""c'est la vie""
There is a circle, it is a plan
Dead skin will atrophy itself to start again
Look closely at the open wound
See past what covers the surface
Underneath chaotic catastrophe
Creation takes the stage, so

[Pre-Chorus]
Dead skin will atrophy itself to start again
Dead skin will atrophy itself to start again
Dead skin will atrophy itself to start again

[Chorus]
It's all been saved
With the exception for the right parts
But when will we be new skin?
It's all been seen
With the exception for what could be
But when will we be new skin?
[Sample over a Guitar Solo]
Until the twentieth century, reality was everything humans could touch, smell, see, and hear. Since the initial publication of the chart of electromagnetic spectrum, humans have learned that what they can touch, smell, see, and hear is less than one millionth of reality.

[Bridge]
Fallacious cognitions
Spewed from televisions
Do mold our decisions
So stop and take a look and you'll see what I see now
Now!

[Chorus]
It's all been saved
With the exception for the right parts
But when will we be new skin?
It's all been seen
With the exception for what could be
But when will we be new skin?
Skin6Embed",0.156,0.79,0.053,-0.9913
silverchair,abuse me,1997,"Abuse Me Lyrics[Verse 1]
Need to ask a question
Calling out my name
Nothing seems to bother
Wish I had a clue

[Chorus]
C'mon abuse me more I like it

[Verse 2]
Well I don't think you like me
Well I hate you as well
No one seems to like you
Wish I couldn't tell
[Chorus]
C'mon abuse me more I like it
C'mon keep talking 'cause it's true
C'mon abuse me more I like it
C'mon keep talking 'cause it's true

[Bridge]
Throw the sailors overboard
Throw the sailors overboard
Throw the sailors overboard
Throw the sailors overboard, overboard

[Chorus]
C'mon abuse me more I like it
C'mon keep talking 'cause it's true

[Bridge]
Throw the sailors overboard
Throw the sailors overboard
Throw the sailors overboard
Throw the sailors overboard
Throw the sailors overboard
Throw the sailors overboard
Throw the sailors overboard
Throw the sailors overboard, overboardEmbed",0.152,0.661,0.187,0.1875
ben folds five,one angry dwarf and 200 solemn faces,1997,"One Angry Dwarf and 200 Solemn Faces Lyrics[Verse 1]
September '75, I was 47 inches high
My mom said by Christmas I would have
A badass mother GI Joe for your little minds to blow
I still got beat up after class

[Chorus]
Yeah, now I'm big and important
One angry dwarf and 200 solemn faces are you
If you really want to see me
Check the papers and the TV
Look who's tellin' who what to do
Kiss my ass goodbye
[Verse 2]
Don't give me that bullshit, you know who I am
I'm your nightmare little man
Vic, you stole my lunch money, made me cry
Jane, remember second grade?
Said you couldn't stand my face
Rather than kiss me
You said you'd rather die

[Chorus]
I'm big and important
One angry dwarf and 200 solemn faces are you
If you really want to see me
Check the papers and the TV
Look who's tellin' who what to do
No, kiss my ass goodbye

[Bridge]
You'll be sorry one day
Yes you will, yes you will
You shouldn't push me around
Cause I will, yes I will
You will be sorry when I'm big
Yes you will, yes you will
You will be sorry
[Chorus]
Now I'm big and important
One angry dwarf and 200 solemn faces are you
If you really want to see me
Check the papers and the TV
No, look who's tellin' who what to do
Kiss my ass

Kiss my ass
Kiss my ass goodbye now
Kiss my ass
Kiss my ass goodbye now

Kiss my ass
Kiss my ass goodbye now
Kiss my ass
Kiss my ass goodbye now

September '75, I was 47 inches high
September '75
September '752Embed",0.193,0.641,0.167,-0.929
ben folds five,song for the dumped,1997,"Song for the Dumped Lyrics[Intro]
1, 2, 3, 4!

[Verse 1]
So you wanted
To take a break
Slow it down some
And have some space
Well, fuck you too

[Chorus]
Give me my money back
Give me my money back
You bitch
I want my money back
And don't forget
Don't forget
To give me back my black T-shirt
[Verse 2]
I wish I hadn't
Bought you dinner
Right before you
Dumped me on your front porch

[Chorus]
Give me my money back
Give me my money back
You bitch
I want my money back
And don't forget
Don't forget
To give me back my black T-shirt

[Verse 3]
So you wanted
To take a break
Slow it down some
And have some space

[Chorus]
Give me my money back
Give me my money back
You bitch
I want my money back
I want my money back
And don't forget2Embed",0.137,0.785,0.078,-0.9354
mary j. blige,it's on,1997,"It’s On Lyrics[Intro: R. Kelly & Mary J. Blige]
Yeah
Yo, Mary, what's up?
Oh, oh, hey

[Chorus: R. Kelly & Mary J. Blige]
And it's on, and it's on, and it's on, and it's on, and it's on tonight (It's on)
It's about time that we met (It's about time)
And it's about time, a love I won't forget (Oh, oh)
And it's on, and it's on, and it's on, and it's on, and it's on tonight (Oh, oh, on tonight)
It's about time that we met (It's about time)
And it's about time, a love I won't forget
[Verse 1: R. Kelly]
For so long, I waited for the chance
To be with you
And to lie with you, baby
In my dreams, I take you by the hand
In our house on the beach
Making love on jet black sand, oh, yeah

[Pre-Chorus: R. Kelly]
Baby, finally the time (The time)
Has come for us to share (To share)
A joy that we both need (Oh)
And nothing can compare (It's on)

[Chorus: R. Kelly]
And it's on, and it's on, and it's on, and it's on, and it's on tonight (It's on)
It's about time that we met (It's about time that we met)
And it's about time, a love I won't forget
And it's on, and it's on, and it's on, and it's on, and it's on tonight (Ooh, lady, tonight, it's on)
It's about time that we met (It's about time that we met)
And it's about time, a love I won't forget

[Verse 2: Mary J. Blige]
I waited all my life
Boy, for you to come along and make that joyful sacrifice
Two kids, a dog, and a home
It's like a dream come to life
When I looked into your dazed eyes
[Pre-Chorus: R. Kelly & Mary J. Blige]
Baby, finally the time (Now's the time)
Has come for us to share (To share)
A joy that we both need (Oh, oh)
And nothing can compare

[Chorus: R. Kelly, Mary J. Blige, & Both]
And it's on, and it's on, and it's on, and it's on, and it's on tonight (Oh)
It's about time that we met (It's about time)
And it's about time, a love I won't forget
And it's on, and it's on, and it's on, and it's on, and it's on tonight (And it's on tonight)
It's about time that we met (Oh, oh, oh)
And it's about time, a love I won't forget

[Bridge: R. Kelly & Mary J. Blige, Mary J. Blige, R. Kelly]
All my life, I've waited to get next to you
You, baby, you, you, oh
And every night, I've prayed your love would come my way
And finally the time (Finally) has come for us to meet, oh

[Chorus: R. Kelly & Mary J. Blige]
And it's on, and it's on, and it's on, and it's on, and it's on tonight (And it's on, and it's on)
It's about time that we met (It's about time)
And it's about time, a love I won't forget (And it's on)
And it's on, and it's on, and it's on, and it's on, and it's on tonight (And it's on)
It's about time that we met (It's on)
And it's about time, a love I won't forget
[Outro: R. Kelly & Mary J. Blige]
And it's on, and it's on, and it's on, and it's on, and it's on tonight (Hey)
It's about time that we met (It's on)
And it's about time, a love I won't forgetEmbed",0.003,0.85,0.147,0.9981
four tops,reach out i'll be there,1997,"Reach Out, I’ll Be There Lyrics[Verse 1]
(Yah!)
Now if you feel that you can't go on (Can't go on)
Because all of your hope is gone (All your hope is gone)
And your life is filled with much confusion (Much confusion)
Until happiness is just an illusion (Happiness is just an illusion)
And your world around is crumbling down, darlin'

[Chorus]
(Reach out) Come on, girl, reach on out for me
(Reach out) Reach out for me
Hah, I'll be there with a love that will shelter you
I'll be there with a love that will see you through
[Verse 2]
When you feel lost and about to give up (To give up)
'Cause your best just ain't good enough (Just ain't good enough)
And you feel the world has grown cold (Has grown cold)
And you're drifting out all on your own (Drifting out on your own)
And you need a hand to hold, darlin'

[Chorus]
(Reach out) Come on, girl, reach out for me
(Reach out) Reach out for me
Hah, I'll be there to love and comfort you
And I'll be there to cherish and care for you

(I'll be there to always see you through)
(I'll be there to love and comfort you)

[Verse 3]
I can tell the way you hang your head (Hang your head)
You're not in love now, now you're afraid (You're afraid)
And through your tears you look around (Look around)
But there's no peace of mind to be found (No peace of mind to be found)
I know what you're thinking - you're a loner, no love of your own
But darlin'

[Chorus]
(Reach out) Come on, girl, reach out for me
(Reach out) reach out, just look over your shoulder
I'll be there to give you all the love you need
And I'll be there, you can always depend on me
I'll be there, don't worry5Embed",0.065,0.779,0.156,0.9624
collective soul,precious declaration,1997,"Precious Declaration Lyrics[Verse 1]
Hitched a ride to the peaceful side of town
Then proceeded where thieves were no longer found

[Pre-Chorus]
Can't crash now
Well, I've been waiting for this
Won't crash now
I found some encouragement

[Chorus]
Precious declaration reads
Yours is yours and mine you leave alone now
Precious declaration says
I believe all hope is dead no longer
[Verse 2]
New meanings to the words I feed upon
Wake within my veins elements of freedom

[Pre-Chorus]
Can't break now
Well, I've been living for this
Won't break now
I'm cleansed with hopefulness

[Chorus]
Precious declaration reads
Yours is yours and mine you leave alone now
Precious declaration says
I believe all hope is dead no longer

[Bridge]
Once I jumped thru hoops of fire
High and far as you required
I was blind but now I see
Salvation has discovered

[Chorus]
Precious declaration reads
Yours is yours and mine you leave alone now
Precious declaration says
I believe all hope is dead no longer
Precious declaration reads
Yours is yours and mine you leave alone now
Precious declaration says
I believe all hope is dead no longerEmbed",0.209,0.593,0.198,0.5018
