,lyrics,year,num_words,num_lines,title,artist,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment,Lyrics,neg_sentiment_2,neu_sentiment_2,pos_sentiment_2,com_sentiment_2
10,"Come on-a my house, my house, I'm gonna give you candy
Come on-a my house, my house, I'm gonna give a you
Apple a plum and apricot-a too eh

Come on-a my house, my house a come on
Come on-a my house, my house a come on
Come on-a my house, my house I'm gonna give a you
Figs and dates and grapes and cakes eh

Come on-a my house, my house a come on
Come on-a my house, my house a come on
Come on-a my house, my house, I'm gonna give you candy
Come on-a my house, my house, I'm gonna give you everything

Come on-a my house, my house, I'm gonna give you Christmas tree
Come on-a my house, my house, I'm gonna give you
Marriage ring and a pomegranate too ah

Come on-a my house, my house a come on
Come on-a my house, my house a come on
Come on-a my house, my house I'm gonna give a you
Peach and pear and I love your hair ah

Come on-a my house, my house a come on
Come on-a my house, my house a come on
Come on-a my house, my house, I'm gonna give you Easter egg
Come on-a my house, my house, I'm gonna give you
Everything, everything, everything

Come on-a my house-a",1951,220,24,Come On-a My House,Rosemary Clooney,0.0,0.982,0.018,0.6369,"Come On-A My House LyricsCome on-a my house, my house, I'm gonna give you candy
Come on-a my house, my house, I'm gonna give a you
Apple a plum and apricot-a too eh

Come on-a my house, my house a come on
Come on-a my house, my house a come on
Come on-a my house, my house I'm gonna give a you
Figs and dates and grapes and cakes eh

Come on-a my house, my house a come on
Come on-a my house, my house a come on
Come on-a my house, my house, I'm gonna give you candy
Come on-a my house, my house, I'm gonna give you everything
Come on-a my house, my house, I'm gonna give you Christmas tree
Come on-a my house, my house, I'm gonna give you
Marriage ring and a pomegranate too ah

Come on-a my house, my house a come on
Come on-a my house, my house a come on
Come on-a my house, my house I'm gonna give a you
Peach and pear and I love your hair ah

Come on-a my house, my house a come on
Come on-a my house, my house a come on
Come on-a my house, my house, I'm gonna give you Easter egg
Come on-a my house, my house, I'm gonna give you
Everything, everything, everything

Come on-a my house-aEmbed",0.0,0.982,0.018,0.6369
11,"Be my love, for no one else can end this yearning
This need that you and you alone create
Just fill my arms the way you've filled my dreams
The dreams that you inspire with every sweet desire

Be my love and with your kisses set me burning
One kiss is all that I need to seal my fate
And, hand-in-hand, we'll find love's promised land
There'll be no one but you for me, eternally
If you will be my love

(Be my love, for no one else can end this yearning
This need that you and you alone create)
Just fill my arms the way you've filled my dreams
The dreams that you inspire with ev'ry sweet desire

(Be my love and with your kisses) set me burning
One kiss is all that I need to seal my fate
And, hand-in-hand, we'll find love's promised land
There'll be no one but you for me, eternally
If you will be my love",1951,162,18,Be My Love,Mario Lanza,0.057,0.59,0.353,0.9966,"Be My Love LyricsBe my love, for no one else can end this yearning
This need that you and you alone create
Just fill my arms the way you've filled my dreams
The dreams that you inspire with every sweet desire

Be my love and with your kisses set me burning
One kiss is all that I need to seal my fate
And, hand-in-hand, we'll find love's promised land
There'll be no one but you for me, eternally
If you will be my love
(Be my love, for no one else can end this yearning
This need that you and you alone create)
Just fill my arms the way you've filled my dreams
The dreams that you inspire with ev'ry sweet desire

(Be my love and with your kisses) set me burning
One kiss is all that I need to seal my fate
And, hand-in-hand, we'll find love's promised land
There'll be no one but you for me, eternally
If you will be my loveEmbed",0.057,0.59,0.353,0.9966
12,"I tried so hard my dear to show that you're my every dream
Yet you're afraid each thing I do is just some evil scheme
A memory from your lonesome past keeps us so far apart
Why can't I free your doubtful mind and melt your cold, cold heart?

Another love before my time made your heart sad and blue
And so my heart is paying now for things I didn't do
In anger unkind words are said that make the teardrops start
Why can't I free your doubtful mind and melt your cold, cold heart?

There was a time when I believed that you belonged to me
But now I know your heart is shackled to a memory
The more I learn to care for you, the more we drift apart
Why can't I free your doubtful mind and melt your cold, cold heart?",1951,145,12,"Cold, Cold Heart",Tony Bennett,0.116,0.73,0.154,0.8953,"Cold, Cold Heart Lyrics[Verse 1: Tony Bennett]
I tried so hard, my dear to show
That you're my every dream
Yet, you're afraid each thing I do
Is just some evil scheme
A memory from your lonesome past
Keeps us so far apart
Why can't I free your doubtful mind
And melt your cold, cold heart

[Chorus: Tim McGraw,  Tony Bennett & Tim McGraw]
Another love before my time
Made your heart sad and blue
And so my heart is paying now
For things I didn't do
In anger unkind words are said
That make the teardrops start
Why can't I free your doubtful mind
And melt your cold, cold heart
[Instrumental Interlude]

[Bridge: Tony Bennett, Tony Bennett & Tim McGraw]
There was a time when I believed
That you belonged to me
But now I know your heart is shackled to a memory
The more I learn to care for you
The more we drift apart
Why can't I free your doubtful mind
And melt your cold, cold heartEmbed",0.116,0.73,0.154,0.8953
13,"If they made me a king
I'd be but a slave to you
If I had everything
I'd still be a slave to you

If I ruled the night
Stars and moon so bright
Still I'd turn for light to you

If the world to me bowed
Yet humbly I'd flee to you
If my friends were a crowd
I'd turn in my need to you

If I ruled the earth
What would life be worth
If I hadn't the right to you

If I ruled the night
Stars and moon so bright
Still I'd turn for light to you

If the world to me bowed
Yet humbly I'd flee to you
If my friends were a crowd
I'd turn in my need to you

If I ruled the earth
What would life be worth
If I hadn't the right to you",1951,142,24,If,Perry Como,0.0,0.855,0.145,0.9756,"If LyricsIf they made me a king
I'd be but a slave to you
If I had everything
I'd still be a slave to you

If I ruled the night
Stars and moon so bright
Still I'd turn for light to you

If the world to me bowed
Yet humbly I'd flee to you
If my friends were a crowd
I'd turn in my need to you
If I ruled the earth
What would life be worth
If I hadn't the right to you

If I ruled the night
Stars and moon so bright
Still I'd turn for light to you

If the world to me bowed
Yet humbly I'd flee to you
If my friends were a crowd
I'd turn in my need to you

If I ruled the earth
What would life be worth
If I hadn't the right to youEmbed",0.0,0.855,0.145,0.9756
14,"I was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes, I lost my little darling on the night they were playing
The beautiful Tennessee Waltz

I was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes, I lost my little darling on the night they were playing
The beautiful Tennessee Waltz",1951,138,16,Tennessee Waltz,Patti Page,0.048,0.632,0.319,0.9947,"Tennessee Waltz LyricsI was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
I Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me

I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes, I lost my little darling on the night they were playing
The beautiful Tennessee Waltz

I was dancing with my darling to the Tennessee Waltz
When an old friend I happened to see
I Introduced her to my loved one and while they were dancing
My friend stole my sweetheart from me
I remember the night and the Tennessee Waltz
Now I know just how much I have lost
Yes, I lost my little darling on the night they were playing
The beautiful Tennessee WaltzEmbed",0.048,0.632,0.319,0.9947
15,"If ever a devil was born
Without a pair of horns
It was you, Jezebel, it was you!
If ever a pair of eyes
Promised paradise
It was you, Jezebel, it was you!
If ever a devil's plan
Was made to torment man
Decieving me
Grieving me
Leaving me blue
Jezebel, it was you!

If ever a devil was born
Without a pair of horns
It was you, Jezebel, it was you!
If ever a pair of eyes
Promised paradise
It was you, Jezebel, it was you!
If ever a devil's plan
Was made to torment man
Decieving me
Grieving me
Leaving me blue
Jezebel, it was you!

Even had I never known
A lover such as you
Forsaking dreams and goals
For the silent scorn
Of your charms, Jezebel!

If ever a devil's plan
Was made to torment man
Decieving me
Drieving me
Leaving me blue
Jezebel, it was you!

Night and day
Every way
Oh Jezebel!
Jezebel

Jezebel!",1951,160,28,Jezebel,Frankie Laine,0.132,0.733,0.135,0.1847,"Jezebel LyricsJezebel
Jezebel

If ever the devil was born without a pair of horns
It was you, Jezebel, it was you
If ever an angel fell, Jezebel, it was you
Jezebel, it was you

If ever a pair of eyes promised paradise
Deceiving me, grieving me, leaving me blue
Jezebel, it was you
If ever the devil's plan was made to torment man
It was you, Jezebel, it was you

Could be better had I never known
A lover such as you
Forsaking dreams and all
For the siren call of your arms

Like a demon, love possessed me
You obsessed me constantly
What evil star is mine that my fate's design
Should be Jezebel?

If ever a pair of eyes promised paradise
Deceiving me, grieving me, leaving me blue
Jezebel, it was you

If ever the devil's plan was made to torment man
It was you
Night and day, every way
Jezebel
Jezebel
JezebelEmbed",0.132,0.733,0.135,0.1847
16,"Tra-la-la, tweedlee dee dee it gives me a thrill
To wake up in the morning to the mockin' bird's trill
Tra-la-la, tweedlee dee dee
There's peace and goodwill
You're welcome as the flowers on Mockin'bird Hill

When the sun in the mornin' peeps over the hill
And kisses the roses 'round my windowsill
Then my heart fills with gladness when I hear the trill
Of those birds in the treetops on Mockin'bird Hill

When it's late in the evenin' I climb up the hill
And survey all my kingdom while everything's still
Only me and the sky and an old whippoorwill
Singing songs in the twilight on Mockin'bird Hill",1951,109,13,Mockin' Bird Hill,Patti Page,0.0,0.866,0.134,0.9477,"Mockin’ Bird Hill LyricsTra-la-la, tweedlee dee dee it gives me a thrill
To wake up in the morning to the mockin' bird's trill
Tra-la-la, tweedlee dee dee
There's peace and goodwill
You're welcome as the flowers on Mockin'bird Hill

When the sun in the mornin' peeps over the hill
And kisses the roses 'round my windowsill
Then my heart fills with gladness when I hear the trill
Of those birds in the treetops on Mockin'bird Hill
When it's late in the evenin' I climb up the hill
And survey all my kingdom while everything's still
Only me and the sky and an old whippoorwill
Singing songs in the twilight on Mockin'bird HillEmbed",0.0,0.866,0.134,0.9477
17,"Rose, Rose I love you with an aching heart
What is your future, now we have to part?
Standing on the jetty as the steamer moves away
Flower of Malaya, I cannot stay

Make way, oh, make way for my Eastern Rose
Men crowd in dozens everywhere she goes
In her rickshaw on the street or in a cabaret
""Please make way for Rose,"" you can hear them say

All my life I shall remember
Oriental music and you in my arms
Perfumed flowers in your tresses
Lotus-scented breezes and swaying palms

Rose, Rose, I love you with your almond eyes
Fragrant and slender 'neath tropical skies
I must cross the seas again and never see you more
Way back to my home on a distant shore

(All my life I shall remember)
(Oriental music and you in my arms)
(Perfumed flowers in your tresses)
(Lotus-scented breezes and swaying palms) 

Rose, Rose, I leave you, my ship is in the bay
Kiss me farewell now, there's nothin' to say
East is East and West is West, our worlds are far apart
I must leave you now but I leave my heart

Rose, Rose, I love you with an aching heart
What is your future, now we have to part?
Standing on the jetty as the steamer moves away
Flower of Malaya, I cannot stay

(Rose, Rose, I love you, I cannot stay)",1951,232,29,"Rose, Rose I Love You",Frankie Laine,0.037,0.82,0.143,0.9858,"Rose, Rose I Love You LyricsRose, Rose I love you with an aching heart
What is your future, now we have to part?
Standing on the jetty as the steamer moves away
Flower of Malaya, I cannot stay

Make way, oh, make way for my Eastern Rose
Men crowd in dozens everywhere she goes
In her rickshaw on the street or in a cabaret
""Please make way for Rose,"" you can hear them say

All my life I shall remember
Oriental music and you in my arms
Perfumed flowers in your tresses
Lotus-scented breezes and swaying palms
Rose, Rose, I love you with your almond eyes
Fragrant and slender 'neath tropical skies
I must cross the seas again and never see you more
Way back to my home on a distant shore

(All my life I shall remember)
(Oriental music and you in my arms)
(Perfumed flowers in your tresses)
(Lotus-scented breezes and swaying palms)

Rose, Rose, I leave you, my ship is in the bay
Kiss me farewell now, there's nothin' to say
East is East and West is West, our worlds are far apart
I must leave you now but I leave my heart

Rose, Rose, I love you with an aching heart
What is your future, now we have to part?
Standing on the jetty as the steamer moves away
Flower of Malaya, I cannot stay

(Rose, Rose, I love you, I cannot stay)Embed",0.037,0.82,0.143,0.9858
18,"I hear singing and there's no one there, 
I smell blossoms and the trees are bare, 
All day long I seem to walk on air, 
I wonder why, I wonder why ? 

I keep tossing in my sleep at night, 
And what's more I've lost my appetite, 
Stars that used to twinkle in the skies, 
Are twinkling in my eyes, 
I wonder why ? 

You don't need analyzin' 
It is not so surpisin' 
That you feel very strange but nice! 
Your heart goes pitter patter 
I know just what's the matter 
Because I've been there once or twice! 

Put your head on my shoulder 
You need someone who's older 
A rub-down with a velvet glove! 
There is nothing you can take 
To relieve that pleasant ache 
You're not sick, you're just in love! 

 

Now you know why! 
Now I know why! 
I'm just in love!",1951,143,24,You're Just In Love,Perry Como,0.046,0.778,0.177,0.9816,"You’re Just In Love LyricsI hear singing and there's no one there
I smell blossoms and the trees are bare
All day long I seem to walk on air
I wonder why, I wonder why ?

I keep tossing in my sleep at night
And what's more I've lost my appetite
Stars that used to twinkle in the skies
Are twinkling in my eyes
I wonder why ?
You don't need analyzin'
It is not so surpisin'
That you feel very strange but nice!
Your heart goes pitter patter
I know just what's the matter
Because I've been there once or twice!

Put your head on my shoulder
You need someone who's older
A rub-down with a velvet glove!
There is nothing you can take
To relieve that pleasant ache
You're not sick, you're just in love!

Repeat verse and chorus simultaneously

Now you know why!
Now I know why!
I'm just in love!Embed",0.046,0.778,0.177,0.9816
19,"Because of you there's a song in my heart
Because of you my romance had its start
Because of you the sun will shine
The moon and stars will say you're mine
Forever and never to part

I only live for your love and your kiss
It's paradise to be near you like this
Because of you my life is now worthwhile
And I can smile
Because of you



I only live for your love and your kiss
It's paradise to be near you like this
Because of you my life is now worthwhile
And I can smile
Because of you",1951,101,15,Because Of You,Les Baxter,0.0,0.672,0.328,0.9923,"Because of You LyricsBecause of you there's a song in my heart
Because of you my romance had its start
Because of you the sun will shine
The moon and stars will say you're mine
Forever and never to part

I only live for your love and your kiss
It's paradise to be near you like this
Because of you my life is now worthwhile
And I can smile
Because of you
[Instrumental Interlude]

I only live for your love and your kiss
It's paradise to be near you like this
Because of you my life is now worthwhile
And I can smile
Because of youEmbed",0.0,0.672,0.328,0.9923
